epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8382,0.97328,3.41379,0.93128,0.02586,0.92671,0.19428,0.15437,0.68577,3.2049,0.85463,0.000234394,0.000234394,0.000234394
2,32.7212,0.86509,1.85761,0.90732,0.6152,0.42018,0.6044,0.48051,0.69633,2.23264,0.94853,0.000467717,0.000467717,0.000467717
3,48.5631,0.86005,1.36865,0.91343,0.68496,0.76825,0.79281,0.62749,0.76927,1.21728,0.97156,0.000696328,0.000696328,0.000696328
4,64.3188,0.81563,1.16247,0.89637,0.73532,0.83543,0.87646,0.71115,0.72231,1.06299,0.95897,0.000692794,0.000692794,0.000692794
5,80.9962,0.79339,1.03797,0.8956,0.59732,0.72555,0.72186,0.57994,0.72703,1.42336,0.97176,0.000685726,0.000685726,0.000685726
6,97.5801,0.80283,1.00525,0.89531,0.80697,0.80433,0.90815,0.72906,0.73955,0.87906,0.96494,0.000678657,0.000678657,0.000678657
7,114.323,0.7883,0.90656,0.88312,0.73889,0.83348,0.88247,0.71346,0.70033,0.98874,0.96175,0.000671588,0.000671588,0.000671588
8,131.04,0.77642,0.87371,0.8846,0.7066,0.70949,0.79696,0.64662,0.70935,1.28634,0.96457,0.00066452,0.00066452,0.00066452
9,147.829,0.76734,0.84474,0.88251,0.77574,0.80509,0.87478,0.71966,0.68778,0.97215,0.94925,0.000657451,0.000657451,0.000657451
10,164.671,0.75456,0.80182,0.88038,0.70165,0.83777,0.85123,0.69581,0.69258,0.99913,0.95745,0.000650383,0.000650383,0.000650383
11,181.539,0.73908,0.79528,0.87807,0.63256,0.75428,0.74338,0.60155,0.71212,1.39778,0.97886,0.000643314,0.000643314,0.000643314
12,198.385,0.74052,0.7824,0.8761,0.76545,0.82925,0.88527,0.73492,0.68846,0.93732,0.94456,0.000636245,0.000636245,0.000636245
13,215.36,0.73582,0.73829,0.87906,0.76022,0.78891,0.85916,0.71121,0.67711,1.02824,0.93465,0.000629177,0.000629177,0.000629177
14,232.283,0.71852,0.69223,0.8743,0.78125,0.79494,0.87047,0.72557,0.67805,1.01539,0.93588,0.000622108,0.000622108,0.000622108
15,249.201,0.72453,0.6767,0.87425,0.71621,0.76669,0.81761,0.6819,0.6539,1.07554,0.94693,0.00061504,0.00061504,0.00061504
16,266.085,0.73378,0.66967,0.87674,0.73996,0.79607,0.82029,0.6741,0.68535,0.96317,0.95405,0.000607971,0.000607971,0.000607971
17,283.006,0.72354,0.6492,0.87348,0.66881,0.82633,0.81622,0.67981,0.66195,1.11398,0.95174,0.000600902,0.000600902,0.000600902
18,300.002,0.71949,0.63001,0.87197,0.66958,0.8369,0.83167,0.69036,0.66293,1.18501,0.93963,0.000593834,0.000593834,0.000593834
19,316.923,0.71342,0.61606,0.86654,0.69409,0.8048,0.82847,0.67669,0.69175,1.12539,0.95226,0.000586765,0.000586765,0.000586765
20,333.851,0.70582,0.59846,0.86594,0.74639,0.81348,0.86731,0.72207,0.64568,0.89981,0.94387,0.000579697,0.000579697,0.000579697
21,350.835,0.70979,0.60736,0.86287,0.72311,0.79913,0.83353,0.68231,0.69393,1.00023,0.9726,0.000572628,0.000572628,0.000572628
22,367.744,0.69876,0.58382,0.86204,0.79396,0.85993,0.88599,0.73343,0.6805,0.81127,0.96146,0.000565559,0.000565559,0.000565559
23,384.654,0.70462,0.57827,0.86519,0.72579,0.8273,0.85877,0.70716,0.68724,0.97638,0.93134,0.000558491,0.000558491,0.000558491
24,401.58,0.70202,0.57254,0.86496,0.74624,0.83917,0.86829,0.72293,0.66245,0.97699,0.94559,0.000551422,0.000551422,0.000551422
25,418.527,0.69848,0.56179,0.86403,0.69029,0.81999,0.81539,0.67776,0.6794,1.18771,0.96142,0.000544354,0.000544354,0.000544354
26,435.434,0.68136,0.54705,0.86092,0.65668,0.7598,0.76222,0.61798,0.70339,1.31216,0.96082,0.000537285,0.000537285,0.000537285
27,452.405,0.69272,0.54609,0.86472,0.70879,0.82692,0.83572,0.69569,0.66781,0.9985,0.946,0.000530216,0.000530216,0.000530216
28,469.238,0.69035,0.53522,0.8633,0.71121,0.79015,0.80073,0.65866,0.67517,0.99811,0.96069,0.000523148,0.000523148,0.000523148
29,486.136,0.68765,0.52972,0.85912,0.71142,0.82981,0.82848,0.6948,0.64022,0.91094,0.94448,0.000516079,0.000516079,0.000516079
30,503.025,0.68937,0.51814,0.86029,0.75521,0.79819,0.84049,0.69423,0.66873,0.8996,0.95746,0.000509011,0.000509011,0.000509011
31,519.931,0.68367,0.51494,0.85961,0.80166,0.83687,0.89571,0.75344,0.63601,0.75878,0.93399,0.000501942,0.000501942,0.000501942
32,536.858,0.67555,0.52378,0.85872,0.77149,0.85154,0.85614,0.72125,0.63924,0.82369,0.93105,0.000494873,0.000494873,0.000494873
33,553.782,0.66805,0.51577,0.85955,0.7756,0.79382,0.84503,0.70433,0.65594,0.94404,0.92558,0.000487805,0.000487805,0.000487805
34,570.687,0.67315,0.51133,0.85801,0.75529,0.8876,0.88881,0.73721,0.69153,0.7563,0.95688,0.000480736,0.000480736,0.000480736
35,587.578,0.67065,0.49045,0.85434,0.77214,0.82822,0.87833,0.73566,0.65601,0.80809,0.9255,0.000473668,0.000473668,0.000473668
36,604.466,0.66192,0.49426,0.85717,0.74372,0.80746,0.82581,0.69849,0.6278,0.94298,0.93439,0.000466599,0.000466599,0.000466599
37,621.355,0.6661,0.48844,0.85482,0.73871,0.83739,0.84304,0.71164,0.63455,0.95181,0.92829,0.00045953,0.00045953,0.00045953
38,638.269,0.66877,0.4951,0.85422,0.75138,0.86328,0.85492,0.71862,0.64649,0.82146,0.94339,0.000452462,0.000452462,0.000452462
39,655.176,0.64733,0.4717,0.85181,0.80838,0.84384,0.88809,0.74433,0.66444,0.79161,0.94353,0.000445393,0.000445393,0.000445393
40,672.053,0.65022,0.48468,0.85282,0.76804,0.76165,0.83857,0.6924,0.71067,0.96892,0.95127,0.000438325,0.000438325,0.000438325
41,688.969,0.65394,0.473,0.85568,0.78446,0.835,0.87999,0.73382,0.65633,0.80058,0.94949,0.000431256,0.000431256,0.000431256
42,705.786,0.64531,0.45896,0.85143,0.75981,0.81033,0.85382,0.71974,0.63567,0.91614,0.92664,0.000424187,0.000424187,0.000424187
43,722.69,0.64674,0.4618,0.85268,0.65971,0.85108,0.83764,0.69266,0.69399,0.99444,0.9466,0.000417119,0.000417119,0.000417119
44,739.563,0.66075,0.46001,0.85161,0.80631,0.80847,0.88903,0.74883,0.6353,0.7633,0.93644,0.00041005,0.00041005,0.00041005
45,756.44,0.63964,0.45158,0.85174,0.8149,0.87948,0.9121,0.77424,0.62293,0.66618,0.92215,0.000402982,0.000402982,0.000402982
46,773.341,0.63549,0.44417,0.84949,0.85241,0.81946,0.89566,0.75387,0.64804,0.72009,0.93233,0.000395913,0.000395913,0.000395913
47,790.262,0.63115,0.44935,0.85307,0.84305,0.82779,0.88736,0.74551,0.64538,0.72823,0.93194,0.000388844,0.000388844,0.000388844
48,807.105,0.63463,0.4468,0.84658,0.80531,0.86633,0.90131,0.75807,0.64748,0.72373,0.92909,0.000381776,0.000381776,0.000381776
49,824.03,0.64103,0.43707,0.84427,0.81402,0.88666,0.90982,0.76294,0.65975,0.66084,0.94021,0.000374707,0.000374707,0.000374707
50,840.937,0.63466,0.43406,0.84736,0.72975,0.82001,0.8514,0.7144,0.66319,0.88231,0.94074,0.000367639,0.000367639,0.000367639
51,857.757,0.64145,0.43294,0.85079,0.78699,0.83042,0.85891,0.73224,0.63045,0.82317,0.9215,0.00036057,0.00036057,0.00036057
52,874.648,0.62998,0.43695,0.84858,0.86683,0.84493,0.92105,0.77876,0.64164,0.62375,0.93309,0.000353501,0.000353501,0.000353501
53,891.531,0.62165,0.42736,0.84315,0.80107,0.87296,0.88383,0.73811,0.66492,0.73215,0.9353,0.000346433,0.000346433,0.000346433
54,908.398,0.62715,0.42574,0.8465,0.80099,0.87932,0.90029,0.75652,0.6416,0.66643,0.93879,0.000339364,0.000339364,0.000339364
55,925.291,0.63139,0.42847,0.84564,0.79109,0.81076,0.85546,0.71559,0.65633,0.8786,0.92954,0.000332296,0.000332296,0.000332296
56,942.12,0.62294,0.4184,0.84364,0.8296,0.84771,0.90816,0.76558,0.64133,0.69642,0.92852,0.000325227,0.000325227,0.000325227
57,958.885,0.61373,0.41857,0.84139,0.80901,0.83123,0.87654,0.7483,0.61898,0.80324,0.92045,0.000318158,0.000318158,0.000318158
58,975.641,0.62116,0.4177,0.84534,0.83382,0.81329,0.90376,0.77269,0.61789,0.74436,0.91861,0.00031109,0.00031109,0.00031109
59,992.51,0.61946,0.41648,0.84368,0.82533,0.76773,0.83726,0.71881,0.60916,1.03829,0.9086,0.000304021,0.000304021,0.000304021
60,1009.38,0.61323,0.4069,0.84493,0.77,0.81523,0.85497,0.72475,0.62256,0.85236,0.93203,0.000296953,0.000296953,0.000296953
61,1026.2,0.60239,0.40637,0.84102,0.75707,0.85173,0.87211,0.73871,0.63626,0.78719,0.92689,0.000289884,0.000289884,0.000289884
62,1043.02,0.61641,0.40853,0.84311,0.80337,0.84992,0.90709,0.76715,0.63277,0.73286,0.9375,0.000282815,0.000282815,0.000282815
63,1059.87,0.60765,0.40456,0.84006,0.71556,0.8567,0.85525,0.72642,0.6279,0.8537,0.92912,0.000275747,0.000275747,0.000275747
64,1076.73,0.60636,0.39886,0.83984,0.74299,0.80135,0.84729,0.71764,0.6407,0.8737,0.93003,0.000268678,0.000268678,0.000268678
65,1093.55,0.58332,0.39195,0.83796,0.79542,0.88957,0.90672,0.77261,0.63601,0.67411,0.92271,0.00026161,0.00026161,0.00026161
66,1110.38,0.59313,0.39213,0.84033,0.82903,0.84534,0.90598,0.76504,0.6568,0.68684,0.93362,0.000254541,0.000254541,0.000254541
67,1127.23,0.59816,0.39137,0.83883,0.82355,0.84952,0.90748,0.77119,0.61837,0.69123,0.91904,0.000247472,0.000247472,0.000247472
68,1144.04,0.58719,0.38039,0.83541,0.81033,0.82157,0.88835,0.75801,0.63062,0.76796,0.92454,0.000240404,0.000240404,0.000240404
69,1160.93,0.58281,0.38121,0.8352,0.7579,0.87439,0.89877,0.7694,0.62925,0.76556,0.91541,0.000233335,0.000233335,0.000233335
70,1177.76,0.5878,0.38342,0.83699,0.8112,0.84987,0.89586,0.76112,0.63679,0.73178,0.92788,0.000226267,0.000226267,0.000226267
71,1194.65,0.58648,0.38613,0.83438,0.82201,0.84657,0.90178,0.75442,0.66595,0.72926,0.93983,0.000219198,0.000219198,0.000219198
72,1211.53,0.58699,0.38792,0.83941,0.81198,0.8754,0.91261,0.77872,0.61939,0.70694,0.91336,0.000212129,0.000212129,0.000212129
73,1228.4,0.5696,0.37685,0.83333,0.80943,0.8357,0.88161,0.75025,0.63861,0.8062,0.91328,0.000205061,0.000205061,0.000205061
74,1245.26,0.58316,0.3823,0.83822,0.77098,0.87727,0.87517,0.74332,0.63111,0.78317,0.9278,0.000197992,0.000197992,0.000197992
75,1262.2,0.57355,0.37432,0.83378,0.83681,0.8668,0.90701,0.77164,0.64733,0.67718,0.93509,0.000190924,0.000190924,0.000190924
76,1279.06,0.58689,0.37718,0.83668,0.81541,0.88025,0.9135,0.77068,0.66355,0.69028,0.94555,0.000183855,0.000183855,0.000183855
77,1295.97,0.57522,0.37991,0.83697,0.72403,0.84074,0.85729,0.72706,0.6357,0.92941,0.92799,0.000176786,0.000176786,0.000176786
78,1312.87,0.55989,0.37043,0.8309,0.77667,0.8756,0.88253,0.75833,0.60863,0.78586,0.91334,0.000169718,0.000169718,0.000169718
79,1329.74,0.56277,0.36431,0.82971,0.82899,0.83861,0.89012,0.75879,0.62287,0.74911,0.92088,0.000162649,0.000162649,0.000162649
80,1346.66,0.57168,0.37088,0.83377,0.82212,0.88146,0.91255,0.77674,0.63853,0.67804,0.92837,0.000155581,0.000155581,0.000155581
81,1363.6,0.55921,0.36563,0.83193,0.81159,0.86871,0.89352,0.75825,0.63725,0.71166,0.93279,0.000148512,0.000148512,0.000148512
82,1380.57,0.57003,0.36347,0.83232,0.85075,0.85203,0.91287,0.77815,0.63201,0.67128,0.92651,0.000141443,0.000141443,0.000141443
83,1397.48,0.55883,0.36059,0.83315,0.83806,0.8813,0.90775,0.76994,0.62679,0.65775,0.9275,0.000134375,0.000134375,0.000134375
84,1414.36,0.54786,0.35691,0.82758,0.81889,0.87126,0.89384,0.76254,0.62822,0.6961,0.92413,0.000127306,0.000127306,0.000127306
